# Nonces N with 8 or more leading zero hex digits in sha256("the quick red fox jumped over the lazy brown dog" + sep + N + tail),
# N < 2^33, found 2026-09-01 with tools/pow_nonce_search.c. None of them derives to any lot address (see analysis/tested.md).
leading_zero_hex_digits,convention,separator,tail,nonce,sha256
9,3,none,none,3287813326,000000000dd820c823b08ea518905230dab9470784c7fdcdcd9a68e6b0cdc842
9,2,space,none,2556564084,0000000002ee57d4250b604d0b9272474cdfe8212e213fee169604dec2b9ce99
8,3,none,none,2231041378,00000000f9345677e889cf21d57206a5e04fbcd9d5f2db0f115ad3f851dd179f
8,3,none,none,1835220916,000000005bfe9c5d4d4b7923950c23f9088e08d9c8b4b49741ec2b7454d21742
8,2,space,none,6798436486,00000000f9b7bc9dc3b909d018e9570fad153f6b8628fe727078cb2beb39a754
8,2,space,none,5973320738,00000000c0ffe65b0739bf5b8c3a00ace34c46b477f3e3983f19d4b1a0f79b57
8,2,space,none,334097007,00000000dc5a9784ca514184a2ab07764423edd1e402048dd84b50db6844b46a
8,1,none,newline,7536340219,00000000f828562aeb792a27d3a14c6a558faf469096f84b129812589618d94f
8,1,none,newline,7373557474,00000000e382bdcaa484aa94a84825bed8f90731192cd5da5678651b5c0b2c91
8,1,none,newline,5907204768,00000000518757444d54a33d6ccdbbfeea50ce27c2c458a54f3c013d26e55f82
