# Cross-series bitGANs attribute catalogue, transcribed from the artist Pindar Van Arman's
# own published journal page. 513 rows, columns Number,Title,Name,GANg,SubType,Type,Eyes,
# Dimensions,Essence,Drop,Level. This table spans several of the artist's NFT series; only
# 8 of its 513 rows belong to the cryptoArtGAN / Act 1 series that holds this puzzle's prize
# (GANg column == 'cryptoArtGAN'), so any count taken from this file alone is scoped to the
# catalogue, not to the 512-piece Act 1 series specifically. See the README for detail.
Number,Title,Name,GANg,SubType,Type,Eyes,Dimensions,Essence,Drop,Level
0,Pandimensional skullGAN,,skullGAN,Pandimensional,Skull,5,infinite,universe,,infinite
1,The Moirai,The Moirai,skullGAN,Primordial,Ghost,6,5,abandon,skullGANs,1
2,The Artist,The Artist,skullGAN,Primordial,Glitch,4,5,ability,skullGANs,1
3,The Geometer,The Geometer,skullGAN,Primordial,Glitch,2,5,able,skullGANs,1
4,Silver Smoke skullGAN,,skullGAN,Silver,Smoke,4,4,about,skullGANs,1
5,Primordial whaleGAN,,whaleGAN,Primordial,Glitch,2,5,above,skullGANs,1
6,Rainbow skullGAN,,skullGAN,Rainbow,Skull,2,3,absent,skullGANs,1
7,Primordial Shimmer skullGAN,,skullGAN,Primordial,Shimmer,7,5,absorb,skullGANs,1
8,Flaming blobGAN,,blobGAN,Flaming,Shimmer,6,2,abstract,skullGANs,1
9,Silver Glitch skullGAN,,skullGAN,Silver,Glitch,3,4,absurd,skullGANs,1
10,Flaming skullGAN,,skullGAN,Flaming,Skull,2,3,abuse,skullGANs,1
11,Flaming Glitch skullGAN,,skullGAN,Flaming,Glitch,2,4,access,skullGANs,1
12,Rainbow skullGAN,,skullGAN,Rainbow,Skull,2,3,accident,skullGANs,1
13,Flaming spiritGAN,,spiritGAN,Flaming,Ghost,2,5,account,skullGANs,1
14,Rainbow skullGAN,,skullGAN,Rainbow,Skull,3,4,accuse,skullGANs,1
15,Flaming Glitch skullGAN,,skullGAN,Flaming,Glitch,3,3,achieve,skullGANs,1
16,Primordial Ghost skullGAN,,skullGAN,Primordial,Ghost,4,4,acid,skullGANs,1
17,Nebulous Ghost skullGAN,,skullGAN,Nebulous,Glitch,3,4,acoustic,skullGANs,1
18,Rainbow skullGAN,,skullGAN,Rainbow,Skull,2,3,acquire,skullGANs,1
19,Flaming Glitch skullGAN,,skullGAN,Flaming,Glitch,4,4,across,skullGANs,1
20,Rainbow skullGAN,,skullGAN,Rainbow,Skull,2,3,act,skullGANs,1
21,Beanie skullGAN,,skullGAN,Rainbow,Glitch,2,5,bean,skullGANs,1
22,Slender skullGAN,,skullGAN,Slender,Skull,3,3,actor,skullGANs,1
23,Flaming Glitch skullGAN,,skullGAN,Flaming,Glitch,2,3,actress,skullGANs,1
24,Flaming Shimmer skullGAN,,skullGAN,Flaming,Shimmer,2,4,actual,skullGANs,1
25,Silver Glitch skullGAN,,skullGAN,Silver,Glitch,2,4,adapt,skullGANs,1
26,Slender skullGAN,,skullGAN,Slender,Skull,3,4,add,skullGANs,1
27,Flaming Ghost skullGAN,,skullGAN,Flaming,Ghost,2,4,addict,skullGANs,1
